**** n.s. = 'not selected' ******** n.a. = not above minScore matrix is resorted
/home/zs/git/songFROMP/projects/default.frpPathayScoreMatrix

 	OverAllERR771019_MERGED_FASTQ_InterPro.tsv	ERR771060_MERGED_FASTQ_InterPro.tsv	ERR771064_MERGED_FASTQ_InterPro.tsv	ERR771070_MERGED_FASTQ_InterPro.tsv	
ec00010	Glycolysis / Gluconeogenesis	25.04045085249189	13.948557745900352	18.121966236642866	18.791496999985473	25.04045085249189
ec00020	Citrate cycle (TCA cycle)	29.990627889062328	12.18369257993157	29.990627889062328	29.990627889062328	29.990627889062328
ec00030	Pentose phosphate pathway	47.71628690092813	30.314688785187176	33.214955151360506	43.57304925819453	39.42981161546092
ec00040	Pentose and glucuronate interconversions	17.300137263351566	13.679178301254726	7.6442466977599945	13.679178301254726	14.886164621953673
ec00051	Fructose and mannose metabolism	22.89970535136813	9.48832413449629	13.56164881112375	18.391678054552617	22.89970535136813
ec00052	Galactose metabolism	29.323013633811325	29.323013633811325	18.448123862070055	21.093367315696767	29.323013633811325
ec00053	Ascorbate and aldarate metabolism	2.3133375511175056	2.3133375511175056	0.5783343877793764	2.3133375511175056	2.3133375511175056
ec00061	Fatty acid biosynthesis	19.406970113287034	8.625320066020802	8.625320066020802	12.219203415109545	19.406970113287034
ec00062	Fatty acid elongation in mitochondria	4.357846213593045	4.357846213593045	4.357846213593045	4.357846213593045	4.357846213593045
ec00071	Fatty acid metabolism	3.8288651667312568	1.6689925150953535	1.6689925150953535	3.8288651667312568	3.8288651667312568
ec00072	Synthesis and degradation of ketone bodies	52.17391304347826	39.130434782608695	39.130434782608695	52.17391304347826	52.17391304347826
ec00100	Steroid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00120	Primary bile acid biosynthesis	0.6451613029003265	0.6451613029003265	0.6451613029003265	0.6451613029003265	0.6451613029003265
ec00121	Secondary bile acid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00130	Ubiquinone and other terpenoid-quinone biosynthesis	19.062538853772022	4.7656347134430055	14.296904140329014	19.062538853772022	19.062538853772022
ec00140	Steroid hormone biosynthesis	3.2187749142169264	3.2187749142169264	3.2187749142169264	3.2187749142169264	3.2187749142169264
ec00190	Oxidative phosphorylation	55.160142325643605	44.48398574648677	55.160142325643605	55.160142325643605	55.160142325643605
ec00195	Photosynthesis	14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285	14.285714285714285
ec00196	Photosynthesis - antenna proteins	0.0	n.a.	n.a.	n.a.	n.a.
ec00230	Purine metabolism	34.7125852992647	21.25809487508224	25.604930242895037	28.502820488103563	32.84965585591636
ec00231	Puromycin biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00232	Caffeine metabolism	12.904739547485248	12.904739547485248	5.1618958189940995	12.904739547485248	12.904739547485248
ec00240	Pyrimidine metabolism	32.270168855534706	20.26266416510319	29.268292682926827	32.270168855534706	32.270168855534706
ec00250	Alanine, aspartate and glutamate metabolism	21.740754582901506	7.097497197732084	18.005229741989883	21.29249159319625	21.740754582901506
ec00253	Tetracycline biosynthesis	9.164170875485745	9.164170875485745	9.164170875485745	9.164170875485745	9.164170875485745
ec00260	Glycine, serine and threonine metabolism	19.792571201335114	12.387187420499652	13.060404127848333	19.792571201335114	17.997326648405306
ec00270	Cysteine and methionine metabolism	26.121103230960212	15.48520940084519	22.861059146571748	19.764017261605044	26.121103230960212
ec00280	Valine, leucine and isoleucine degradation	13.222789678241506	4.029979437692781	4.029979437692781	13.222789678241506	7.0942495178756895
ec00281	Geraniol degradation	7.137067616222288	2.759312385024957	7.137067616222288	7.137067616222288	7.137067616222288
ec00290	Valine, leucine and isoleucine biosynthesis	45.094936692059676	30.85443036825135	40.34810125079023	45.094936692059676	45.094936692059676
ec00300	Lysine biosynthesis	19.07859078428461	4.769647696071153	17.48870821892756	19.07859078428461	19.07859078428461
