EcActivity,

ERR771019_MERGED_FASTQ_InterPro.txt.tsv,ERR771060_MERGED_FASTQ_InterPro.tsv,ERR771064_MERGED_FASTQ_InterPro.tsv,ERR771070_MERGED_FASTQ_InterPro.tsv,
1.1.1.1,14.0,8.0,19.0,31.0,
1.1.1.169 *,46.0,25.0,56.0,116.0,
1.1.1.17 *,0.0,3.0,13.0,23.0,
1.1.1.193 *,0.0,0.0,0.0,6.0,
1.1.1.23 *,0.0,65.0,581.0,670.0,
1.1.1.25 *,87.0,15.0,53.0,69.0,
1.1.1.262 *,222.0,20.0,71.0,130.0,
1.1.1.267 *,92.0,46.0,144.0,185.0,
1.1.1.28 *,13.0,0.0,0.0,12.0,
1.1.1.290 *,10.0,1.0,1.0,1.0,
1.1.1.3,0.0,3.0,154.0,179.0,
1.1.1.34 *,97.0,2.0,62.0,141.0,
1.1.1.35,280.0,44.0,445.0,478.0,
1.1.1.37,0.0,4.0,11.0,18.0,
1.1.1.38 *,0.0,24.0,43.0,37.0,
1.1.1.42,0.0,41.0,91.0,175.0,
1.1.1.44,69.0,14.0,109.0,90.0,
1.1.1.49,140.0,69.0,178.0,262.0,
1.1.1.86,170.0,16.0,238.0,262.0,
1.1.1.94 *,269.0,20.0,280.0,260.0,
1.1.2.7,0.0,0.0,0.0,1.0,
1.1.3.4 *,11.0,0.0,2.0,2.0,
1.1.3.9 *,9.0,0.0,0.0,1.0,
1.1.5.3 *,40.0,30.0,62.0,59.0,
1.1.5.4 *,0.0,23.0,62.0,17.0,
1.1.99.3 *,0.0,10.0,10.0,15.0,
1.10.2.2 *,9.0,6.0,38.0,42.0,
1.10.3.1,1.0,0.0,0.0,0.0,
1.10.99.3 *,0.0,0.0,7.0,2.0,
1.11.1.15 *,35.0,66.0,365.0,458.0,
1.11.1.6,31.0,57.0,5.0,15.0,
1.13.11.11 *,0.0,12.0,47.0,28.0,
1.13.11.19 *,0.0,0.0,2.0,1.0,
1.13.11.20,8.0,0.0,0.0,9.0,
1.13.11.3,2.0,1.0,2.0,1.0,
1.13.11.5,0.0,18.0,9.0,41.0,
1.13.11.54 *,0.0,11.0,0.0,4.0,
1.13.11.6 *,0.0,0.0,8.0,14.0,
1.13.11.8,0.0,0.0,4.0,1.0,
1.13.12.16 *,0.0,31.0,59.0,143.0,
1.13.99.1,18.0,0.0,14.0,9.0,
1.14.13.7,1.0,2.0,0.0,1.0,
1.14.13.81 *,0.0,0.0,2.0,3.0,
1.14.19.2,0.0,0.0,34.0,9.0,
1.14.99.3 *,0.0,0.0,40.0,26.0,
1.17.1.2 *,0.0,19.0,182.0,215.0,
1.17.4.1,772.0,184.0,3612.0,2324.0,
1.17.7.1 *,0.0,18.0,197.0,217.0,
1.18.6.1,1.0,8.0,0.0,0.0,
1.2.1.10,13.0,4.0,6.0,18.0,
1.2.1.11,0.0,0.0,28.0,16.0,
1.2.1.38 *,250.0,15.0,194.0,199.0,
1.2.1.41 *,0.0,6.0,25.0,24.0,
1.2.1.70 *,148.0,7.0,62.0,100.0,
1.2.4.4 *,0.0,0.0,1.0,0.0,
1.2.7.5,13.0,5.0,10.0,28.0,
1.2.99.2,5.0,0.0,1.0,3.0,
1.3.1.12,0.0,10.0,112.0,121.0,
