EcActivity ,

,/ERR771019_MERGED_FASTQ_InterPro.tsv.txt,
1.1.1.1,14.0,
1.1.1.169 *,46.0,
1.1.1.25 *,87.0,
1.1.1.262 *,222.0,
1.1.1.267 *,92.0,
1.1.1.28 *,13.0,
1.1.1.290 *,10.0,
1.1.1.34 *,97.0,
1.1.1.35,280.0,
1.1.1.44,69.0,
1.1.1.49,140.0,
1.1.1.86,170.0,
1.1.1.94 *,269.0,
1.1.3.4 *,11.0,
1.1.3.9 *,9.0,
1.1.5.3 *,40.0,
1.10.2.2 *,9.0,
1.10.3.1,1.0,
1.11.1.15 *,35.0,
1.11.1.6,31.0,
1.13.11.20,8.0,
1.13.11.3,2.0,
1.13.99.1,18.0,
1.14.13.7,1.0,
1.17.4.1,772.0,
1.18.6.1,1.0,
1.2.1.10,13.0,
1.2.1.38 *,250.0,
1.2.1.70 *,148.0,
1.2.7.5,13.0,
1.2.99.2,5.0,
1.3.1.80 *,5.0,
1.3.3.3 *,46.0,
1.3.3.4 *,25.0,
1.3.5.1,102.0,
1.4.1.21 *,4.0,
1.4.3.21,3.0,
1.4.3.5 *,35.0,
1.4.4.2 *,338.0,
1.5.1.2 *,87.0,
1.5.3.1 *,115.0,
1.5.99.12 *,11.0,
1.6.1.2 *,280.0,
1.6.5.3 *,24.0,
1.7.2.1 *,1.0,
1.7.2.2 *,106.0,
1.7.3.3,1.0,
1.7.99.1 *,16.0,
1.7.99.4 *,2.0,
1.8.1.2 *,241.0,
1.9.3.1 *,751.0,
2.1.1.107 *,42.0,
2.1.1.11 *,9.0,
2.1.1.13,188.0,
2.1.1.14,59.0,
2.1.1.148,154.0,
2.1.1.163 *,1.0,
2.1.1.37 *,28.0,
2.1.1.43 *,2.0,
2.1.1.45,139.0,
2.1.1.86 *,2.0,
2.1.1.90 *,1.0,
2.1.2.10,404.0,
2.1.2.3,454.0,
2.1.2.5,99.0,
2.1.2.9,287.0,
2.2.1.2 *,204.0,
2.2.1.6,22.0,
2.2.1.7 *,213.0,
2.3.1.1 *,212.0,
2.3.1.109 *,28.0,
2.3.1.117 *,14.0,
2.3.1.129 *,48.0,
2.3.1.180 *,232.0,
2.3.1.181 *,167.0,
2.3.1.20 *,75.0,
2.3.1.5,1.0,
2.3.1.57 *,2.0,
2.3.1.78 *,34.0,
2.3.2.2,464.0,
2.3.3.10,13.0,
2.3.3.13,114.0,
2.3.3.9,60.0,
2.4.1.1 *,5.0,
2.4.1.12 *,1.0,
2.4.1.129 *,1.0,
2.4.1.145,1.0,
2.4.1.18 *,3.0,
2.4.1.182 *,14.0,
2.4.1.21 *,169.0,
2.4.1.227 *,252.0,
2.4.1.25 *,75.0,
2.4.2.17 *,8.0,
2.4.2.21 *,56.0,
2.5.1.17 *,63.0,
2.5.1.54 *,164.0,
2.5.1.55 *,454.0,
2.5.1.6 *,216.0,
2.5.1.61 *,135.0,
2.5.1.78 *,19.0,
2.6.99.2 *,190.0,
2.7.1.1,6.0,
2.7.1.107,1.0,
2.7.1.11,188.0,
2.7.1.144 *,1.0,
2.7.1.156 *,66.0,
2.7.1.161 *,2.0,
2.7.1.2,46.0,
2.7.1.23 *,92.0,
2.7.1.30 *,1.0,
2.7.1.33 *,95.0,
2.7.1.40,396.0,
2.7.1.50 *,5.0,
2.7.1.58 *,65.0,
2.7.1.6,15.0,
2.7.1.69,22.0,
2.7.1.71 *,107.0,
2.7.2.1,44.0,
2.7.2.2,6.0,
2.7.2.3,307.0,
2.7.4.1 *,244.0,
2.7.4.23 *,11.0,
2.7.4.3 *,8.0,
2.7.4.6,123.0,
2.7.6.1,119.0,
2.7.6.2 *,44.0,
2.7.6.3 *,34.0,
2.7.7.12,53.0,
2.7.7.3 *,34.0,
2.7.7.38 *,204.0,
2.7.7.4,28.0,
2.7.7.6,2275.0,
2.7.7.63 *,2.0,
2.7.7.68 *,5.0,
2.7.7.7,1765.0,
2.7.7.8,87.0,
2.7.8.7 *,97.0,
2.8.1.6 *,24.0,
2.8.4.1 *,1.0,
2.9.1.1,6.0,
3.1.1.11,5.0,
3.1.1.14 *,2.0,
3.1.1.2 *,8.0,
3.1.1.4,30.0,
3.1.1.47 *,12.0,
3.1.3.11,79.0,
3.1.3.2,1.0,
3.1.3.25,11.0,
3.1.3.3,27.0,
3.1.3.4,1.0,
3.1.3.46 *,2.0,
3.1.3.5,87.0,
3.1.3.71 *,16.0,
3.1.3.8 *,28.0,
3.1.4.14 *,39.0,
3.2.1.1 *,1.0,
3.2.1.132 *,7.0,
3.2.1.18,1.0,
3.2.1.2 *,3.0,
3.2.1.22,44.0,
3.2.1.23,108.0,
3.2.1.26,2.0,
3.2.1.28 *,51.0,
3.2.1.33 *,34.0,
3.2.1.45,22.0,
3.2.1.50 *,8.0,
3.2.1.51 *,208.0,
3.2.1.52,2.0,
3.2.2.4 *,19.0,
3.3.1.1 *,50.0,
3.3.2.6 *,10.0,
3.3.2.9 *,15.0,
3.4.11.1 *,172.0,
3.4.11.23 *,7.0,
3.4.11.5 *,26.0,
3.4.16.4 *,134.0,
3.5.1.102 *,29.0,
3.5.1.2,38.0,
3.5.1.5,43.0,
3.5.2.3 *,4.0,
3.5.3.23 *,1.0,
3.5.3.6 *,128.0,
3.5.4.10 *,3.0,
3.5.4.13 *,8.0,
3.5.4.16 *,130.0,
3.5.4.2 *,29.0,
3.5.4.5,10.0,
3.5.4.9,388.0,
3.6.1.1 *,39.0,
3.6.1.15,8.0,
3.6.1.19,1.0,
3.6.1.22 *,23.0,
3.6.1.27 *,247.0,
3.6.1.3 *,1.0,
3.6.1.7,22.0,
3.6.3.14,1504.0,
3.7.1.2,16.0,
4.1.1.19 *,1.0,
4.1.1.23 *,152.0,
4.1.1.3,109.0,
4.1.1.39,48.0,
4.1.1.4,10.0,
4.1.1.50,15.0,
4.1.2.14,137.0,
4.1.2.43,6.0,
4.1.3.27 *,184.0,
4.2.1.1 *,43.0,
4.2.1.10 *,4.0,
4.2.1.104 *,3.0,
4.2.1.11,140.0,
4.2.1.17,156.0,
4.2.1.20,193.0,
4.2.1.24 *,139.0,
4.2.1.3,29.0,
4.2.1.33 *,853.0,
4.2.1.49 *,100.0,
4.2.1.70 *,57.0,
4.2.1.84,40.0,
4.2.1.99 *,50.0,
4.2.2.2 *,1.0,
4.2.2.3 *,81.0,
4.2.3.5 *,46.0,
4.3.1.17,25.0,
4.3.1.19,28.0,
4.3.1.7 *,11.0,
4.3.2.3 *,35.0,
4.4.1.22 *,68.0,
4.6.1.1 *,7.0,
4.6.1.12 *,24.0,
4.6.1.2 *,4.0,
4.99.1.1 *,69.0,
4.99.1.3 *,20.0,
5.1.1.1 *,342.0,
5.1.1.3 *,107.0,
5.1.3.1,186.0,
5.1.3.2,52.0,
5.3.1.12 *,22.0,
5.3.1.17 *,19.0,
5.3.1.23 *,83.0,
5.3.1.25 *,28.0,
5.3.1.26 *,42.0,
5.3.1.4 *,3.0,
5.3.1.6,41.0,
5.3.1.8,30.0,
5.3.1.9,43.0,
5.3.3.1 *,2.0,
5.4.2.10 *,830.0,
5.4.2.7,18.0,
5.4.99.1 *,7.0,
5.4.99.2,1.0,
5.4.99.5 *,113.0,
5.5.1.6 *,4.0,
6.1.1.10,26.0,
6.1.1.11 *,115.0,
6.1.1.14 *,327.0,
6.1.1.15 *,61.0,
6.1.1.16 *,64.0,
6.1.1.17,226.0,
6.1.1.19 *,251.0,
6.1.1.20 *,493.0,
6.1.1.26 *,1.0,
