EcActivity,

Oxic surface,Oxycline,Sulfidic 1,Sulfidic 2,
1.1.1.1,4.0,0.0,6.0,10.0,
1.1.1.100,0.0,4.0,7.0,29.0,
1.1.1.102 *,0.0,0.0,0.0,1.0,
1.1.1.133,1.0,1.0,5.0,6.0,
1.1.1.145 *,0.0,1.0,2.0,2.0,
1.1.1.158,0.0,0.0,1.0,0.0,
1.1.1.169 *,1.0,1.0,0.0,1.0,
1.1.1.18,0.0,1.0,7.0,6.0,
1.1.1.193 *,0.0,0.0,3.0,2.0,
1.1.1.205,0.0,7.0,12.0,22.0,
1.1.1.218 *,1.0,0.0,0.0,0.0,
1.1.1.219 *,1.0,1.0,3.0,2.0,
1.1.1.22,0.0,2.0,7.0,10.0,
1.1.1.23 *,4.0,3.0,18.0,12.0,
1.1.1.25 *,1.0,1.0,4.0,7.0,
1.1.1.262 *,0.0,1.0,5.0,16.0,
1.1.1.267 *,0.0,1.0,0.0,3.0,
1.1.1.270 *,0.0,0.0,0.0,2.0,
1.1.1.271,1.0,1.0,3.0,6.0,
1.1.1.28 *,1.0,0.0,6.0,30.0,
1.1.1.29,0.0,0.0,0.0,1.0,
1.1.1.290 *,0.0,0.0,1.0,5.0,
1.1.1.3,0.0,4.0,14.0,24.0,
1.1.1.30,2.0,0.0,0.0,0.0,
1.1.1.34 *,1.0,3.0,0.0,2.0,
1.1.1.35,0.0,3.0,7.0,10.0,
1.1.1.36,0.0,2.0,9.0,20.0,
1.1.1.37,2.0,11.0,14.0,23.0,
1.1.1.42,1.0,10.0,188.0,100.0,
1.1.1.44,5.0,11.0,1.0,4.0,
1.1.1.49,0.0,2.0,0.0,2.0,
1.1.1.6 *,0.0,0.0,1.0,0.0,
1.1.1.85 *,0.0,0.0,15.0,9.0,
1.1.1.86,2.0,8.0,43.0,43.0,
1.1.1.94 *,0.0,2.0,5.0,3.0,
1.1.1.95,0.0,1.0,3.0,0.0,
1.1.2.3 *,1.0,1.0,0.0,26.0,
1.1.2.4 *,0.0,4.0,9.0,21.0,
1.1.5.3 *,0.0,0.0,0.0,1.0,
1.1.5.4 *,0.0,0.0,1.0,1.0,
1.1.99.1 *,2.0,2.0,10.0,2.0,
1.1.99.2 *,1.0,0.0,0.0,1.0,
1.10.2.2 *,5.0,17.0,80.0,157.0,
1.10.99.1 *,0.0,3.0,14.0,8.0,
1.11.1.15 *,3.0,58.0,194.0,182.0,
1.11.1.6,0.0,4.0,2.0,3.0,
1.11.1.7,9.0,9.0,4.0,1.0,
1.11.1.9,0.0,2.0,6.0,14.0,
1.12.7.2 *,0.0,9.0,14.0,23.0,
1.13.11.11 *,1.0,0.0,0.0,1.0,
1.13.11.27,2.0,4.0,5.0,3.0,
1.13.11.39,0.0,0.0,1.0,0.0,
1.13.11.5,0.0,0.0,3.0,3.0,
1.13.11.51 *,0.0,0.0,3.0,0.0,
1.13.11.52 *,0.0,0.0,0.0,1.0,
1.13.12.16 *,0.0,3.0,0.0,11.0,
1.13.99.1,2.0,0.0,0.0,0.0,
1.14.11.8 *,0.0,0.0,0.0,1.0,
1.14.13.24 *,0.0,2.0,0.0,1.0,
1.14.13.7,0.0,0.0,0.0,2.0,
1.14.13.70 *,1.0,0.0,0.0,0.0,
1.14.13.8,0.0,4.0,0.0,2.0,
1.14.13.81 *,2.0,0.0,8.0,0.0,
1.14.19.1 *,0.0,1.0,4.0,2.0,
1.14.21.6 *,0.0,1.0,0.0,0.0,
1.14.99.3 *,3.0,3.0,0.0,0.0,
1.16.3.1 *,3.0,0.0,4.0,1.0,
1.17.1.2 *,2.0,0.0,1.0,3.0,
1.17.4.1,17.0,21.0,65.0,74.0,
1.17.4.2,1.0,1.0,1.0,10.0,
1.17.7.1 *,3.0,2.0,6.0,12.0,
1.18.1.2 *,2.0,1.0,4.0,6.0,
1.18.1.3 *,0.0,3.0,4.0,13.0,
1.18.6.1,0.0,3.0,9.0,4.0,
1.2.1.11,1.0,4.0,49.0,64.0,
1.2.1.2,3.0,4.0,17.0,12.0,
1.2.1.38 *,3.0,0.0,2.0,11.0,
1.2.1.41 *,1.0,2.0,5.0,8.0,
1.2.1.70 *,3.0,3.0,2.0,5.0,
1.2.4.1,5.0,28.0,17.0,57.0,
1.2.4.4 *,0.0,1.0,1.0,1.0,
1.2.7.1,0.0,3.0,7.0,87.0,
1.2.7.3,0.0,2.0,40.0,23.0,
1.2.7.5,3.0,3.0,14.0,17.0,
1.2.99.2,0.0,4.0,27.0,15.0,
1.2.99.5 *,0.0,1.0,0.0,0.0,
1.3.1.13 *,1.0,2.0,2.0,2.0,
1.3.1.2,3.0,10.0,18.0,106.0,
1.3.1.24 *,0.0,2.0,0.0,0.0,
1.3.1.26 *,1.0,6.0,15.0,16.0,
1.3.1.33 *,0.0,1.0,1.0,0.0,
1.3.1.70 *,1.0,0.0,0.0,0.0,
1.3.1.76 *,0.0,0.0,1.0,0.0,
1.3.1.83 *,0.0,1.0,5.0,3.0,
1.3.1.9 *,0.0,3.0,11.0,9.0,
1.3.3.3 *,1.0,0.0,3.0,2.0,
1.3.3.4 *,1.0,3.0,11.0,26.0,
1.3.5.2 *,3.0,2.0,1.0,7.0,
1.3.7.3 *,0.0,0.0,1.0,0.0,
1.3.99.22 *,0.0,2.0,2.0,10.0,
1.3.99.23 *,0.0,1.0,0.0,1.0,
1.3.99.3,10.0,26.0,21.0,37.0,
1.4.1.1,0.0,3.0,0.0,1.0,
1.4.1.2,0.0,1.0,0.0,3.0,
1.4.3.4,0.0,1.0,20.0,18.0,
1.4.3.5 *,2.0,1.0,1.0,4.0,
1.4.4.2 *,1.0,3.0,11.0,24.0,
1.4.99.1,0.0,0.0,3.0,2.0,
1.5.1.2 *,0.0,6.0,1.0,5.0,
1.5.1.20,0.0,2.0,10.0,18.0,
1.5.1.29,0.0,0.0,0.0,2.0,
1.5.1.3,0.0,1.0,2.0,7.0,
1.5.1.30 *,0.0,3.0,5.0,3.0,
1.5.1.8,0.0,0.0,2.0,3.0,
1.5.3.1 *,4.0,8.0,0.0,5.0,
1.5.3.7 *,0.0,0.0,0.0,2.0,
1.5.99.11 *,0.0,1.0,1.0,0.0,
1.5.99.8 *,2.0,2.0,0.0,2.0,
1.6.1.2 *,5.0,8.0,19.0,19.0,
1.6.5.3 *,16.0,23.0,111.0,84.0,
1.6.99.3 *,0.0,0.0,2.0,1.0,
1.6.99.5 *,4.0,2.0,24.0,14.0,
1.7.1.4 *,0.0,0.0,15.0,18.0,
1.7.2.1 *,23.0,35.0,0.0,12.0,
1.7.2.2 *,0.0,0.0,3.0,12.0,
1.7.3.3,0.0,1.0,0.0,0.0,
1.7.99.1 *,0.0,1.0,2.0,37.0,
1.7.99.4 *,0.0,23.0,41.0,98.0,
1.8.1.2 *,2.0,0.0,3.0,1.0,
1.8.1.9,0.0,4.0,4.0,3.0,
1.8.3.1 *,0.0,7.0,0.0,0.0,
1.8.4.8 *,0.0,0.0,0.0,3.0,
1.8.98.1 *,0.0,0.0,20.0,9.0,
1.8.99.3 *,1.0,15.0,99.0,156.0,
1.9.3.1 *,70.0,75.0,114.0,239.0,
1.97.1.9 *,1.0,7.0,0.0,9.0,
2.1.1.10 *,4.0,7.0,11.0,13.0,
2.1.1.103 *,0.0,1.0,1.0,0.0,
2.1.1.104,0.0,0.0,0.0,1.0,
2.1.1.107 *,0.0,1.0,4.0,3.0,
2.1.1.13,3.0,8.0,10.0,16.0,
2.1.1.148,0.0,0.0,10.0,10.0,
2.1.1.43 *,1.0,0.0,0.0,0.0,
2.1.1.45,1.0,2.0,1.0,11.0,
2.1.1.5,0.0,4.0,0.0,1.0,
2.1.1.67 *,0.0,0.0,2.0,26.0,
2.1.1.86 *,0.0,0.0,0.0,1.0,
2.1.2.1,10.0,17.0,18.0,22.0,
2.1.2.10,9.0,21.0,16.0,33.0,
2.1.2.11 *,1.0,3.0,5.0,15.0,
2.1.2.3,0.0,1.0,2.0,15.0,
2.1.2.5,0.0,0.0,1.0,5.0,
2.1.2.9,1.0,5.0,3.0,4.0,
2.1.3.1 *,0.0,0.0,0.0,1.0,
2.2.1.1,7.0,17.0,57.0,80.0,
2.2.1.2 *,0.0,7.0,17.0,8.0,
2.2.1.6,1.0,14.0,71.0,137.0,
2.2.1.7 *,0.0,1.0,7.0,16.0,
2.2.1.9 *,1.0,2.0,0.0,0.0,
2.3.1.109 *,0.0,0.0,0.0,1.0,
2.3.1.117 *,0.0,3.0,2.0,7.0,
2.3.1.129 *,2.0,1.0,7.0,9.0,
2.3.1.157 *,0.0,2.0,4.0,16.0,
2.3.1.176 *,0.0,4.0,3.0,5.0,
2.3.1.181 *,0.0,2.0,1.0,3.0,
2.3.1.20 *,0.0,2.0,0.0,1.0,
2.3.1.23 *,1.0,0.0,0.0,3.0,
2.3.1.30,3.0,2.0,17.0,6.0,
2.3.1.31,1.0,4.0,5.0,2.0,
2.3.1.35 *,1.0,7.0,7.0,12.0,
2.3.1.37,0.0,1.0,8.0,0.0,
2.3.1.39 *,0.0,0.0,7.0,5.0,
2.3.1.41 *,0.0,0.0,1.0,11.0,
2.3.1.42 *,0.0,0.0,0.0,1.0,
2.3.1.43 *,0.0,0.0,1.0,0.0,
2.3.1.46,0.0,0.0,0.0,3.0,
2.3.1.51,0.0,1.0,0.0,2.0,
2.3.1.54,0.0,0.0,4.0,0.0,
2.3.1.57 *,0.0,0.0,0.0,1.0,
2.3.1.61,1.0,2.0,0.0,2.0,
2.3.1.8,0.0,3.0,3.0,4.0,
2.3.1.85 *,1.0,0.0,1.0,0.0,
2.3.1.94 *,0.0,3.0,2.0,2.0,
2.3.2.2,3.0,0.0,0.0,2.0,
2.3.3.1,5.0,8.0,15.0,37.0,
2.3.3.10,0.0,0.0,2.0,0.0,
2.3.3.13,0.0,1.0,4.0,8.0,
2.3.3.15 *,1.0,16.0,3.0,2.0,
2.3.3.8,3.0,3.0,77.0,62.0,
2.3.3.9,4.0,4.0,12.0,48.0,
2.4.1.1 *,0.0,1.0,7.0,1.0,
2.4.1.109 *,1.0,1.0,1.0,0.0,
2.4.1.117 *,0.0,0.0,0.0,2.0,
2.4.1.119,0.0,0.0,3.0,0.0,
2.4.1.129 *,0.0,1.0,2.0,7.0,
2.4.1.14 *,0.0,1.0,0.0,1.0,
2.4.1.18 *,0.0,4.0,9.0,0.0,
2.4.1.182 *,1.0,4.0,0.0,12.0,
2.4.1.227 *,0.0,0.0,4.0,2.0,
2.4.1.241 *,0.0,1.0,0.0,0.0,
2.4.1.25 *,0.0,1.0,0.0,0.0,
2.4.1.34 *,0.0,1.0,0.0,1.0,
2.4.1.41 *,0.0,3.0,0.0,0.0,
2.4.1.69,0.0,0.0,0.0,2.0,
2.4.1.7 *,0.0,0.0,0.0,2.0,
2.4.1.83 *,0.0,0.0,0.0,5.0,
2.4.2.1,0.0,1.0,5.0,3.0,
2.4.2.10,4.0,1.0,8.0,8.0,
2.4.2.11 *,0.0,1.0,1.0,0.0,
2.4.2.14,2.0,7.0,5.0,5.0,
2.4.2.17 *,1.0,1.0,12.0,18.0,
2.4.2.18 *,2.0,2.0,8.0,15.0,
2.4.2.19 *,1.0,0.0,1.0,3.0,
2.4.2.21 *,0.0,3.0,0.0,1.0,
2.4.2.22 *,0.0,0.0,0.0,2.0,
2.4.2.28 *,1.0,1.0,3.0,3.0,
2.4.2.3,0.0,0.0,1.0,3.0,
2.4.2.7 *,0.0,3.0,2.0,1.0,
2.4.2.8,0.0,3.0,9.0,5.0,
2.4.2.9 *,0.0,0.0,3.0,1.0,
2.5.1.15 *,1.0,2.0,2.0,5.0,
2.5.1.17 *,1.0,2.0,0.0,8.0,
2.5.1.18,2.0,0.0,0.0,2.0,
2.5.1.19 *,0.0,1.0,4.0,4.0,
2.5.1.3 *,0.0,0.0,3.0,13.0,
2.5.1.31 *,0.0,1.0,2.0,7.0,
2.5.1.32 *,0.0,0.0,3.0,1.0,
2.5.1.47,0.0,4.0,4.0,2.0,
2.5.1.54 *,2.0,4.0,13.0,26.0,
2.5.1.55 *,1.0,2.0,16.0,19.0,
2.5.1.6 *,2.0,20.0,46.0,37.0,
2.5.1.61 *,1.0,1.0,8.0,28.0,
2.5.1.62 *,0.0,0.0,0.0,1.0,
2.5.1.7,1.0,6.0,4.0,9.0,
2.5.1.9 *,1.0,1.0,21.0,28.0,
2.6.1.16,3.0,0.0,7.0,21.0,
2.6.1.37 *,0.0,1.0,1.0,1.0,
2.6.1.39,0.0,1.0,0.0,0.0,
2.6.1.42,1.0,3.0,13.0,17.0,
2.6.1.44,0.0,2.0,6.0,4.0,
2.6.1.45,0.0,2.0,0.0,1.0,
2.6.1.51 *,0.0,1.0,15.0,23.0,
2.6.1.52,4.0,5.0,12.0,25.0,
2.6.1.57,0.0,2.0,0.0,0.0,
2.6.1.83 *,1.0,0.0,0.0,0.0,
2.6.1.85 *,0.0,0.0,5.0,4.0,
2.6.1.9,0.0,6.0,10.0,12.0,
2.6.99.2 *,0.0,1.0,8.0,5.0,
2.7.1.107,0.0,1.0,0.0,5.0,
2.7.1.11,0.0,2.0,6.0,7.0,
2.7.1.12 *,0.0,0.0,2.0,1.0,
2.7.1.127 *,1.0,0.0,1.0,1.0,
2.7.1.130 *,1.0,1.0,6.0,13.0,
2.7.1.148 *,0.0,3.0,4.0,5.0,
2.7.1.15 *,0.0,1.0,1.0,1.0,
2.7.1.16 *,0.0,0.0,0.0,1.0,
2.7.1.19 *,1.0,2.0,6.0,14.0,
2.7.1.2,4.0,3.0,1.0,1.0,
2.7.1.20 *,3.0,0.0,2.0,0.0,
2.7.1.21,1.0,0.0,1.0,3.0,
2.7.1.23 *,0.0,2.0,8.0,26.0,
2.7.1.24 *,0.0,0.0,3.0,6.0,
2.7.1.25,0.0,0.0,5.0,10.0,
2.7.1.26 *,0.0,0.0,2.0,0.0,
2.7.1.29,0.0,1.0,1.0,2.0,
2.7.1.30 *,1.0,0.0,3.0,4.0,
2.7.1.31,1.0,0.0,0.0,0.0,
2.7.1.33 *,2.0,0.0,2.0,4.0,
2.7.1.35 *,0.0,0.0,0.0,1.0,
2.7.1.36 *,0.0,0.0,0.0,1.0,
2.7.1.39 *,0.0,0.0,0.0,3.0,
2.7.1.4,0.0,0.0,0.0,2.0,
2.7.1.40,2.0,9.0,6.0,14.0,
2.7.1.48,0.0,1.0,1.0,8.0,
2.7.1.5,0.0,0.0,0.0,1.0,
2.7.1.59 *,0.0,1.0,0.0,0.0,
2.7.1.60 *,0.0,0.0,2.0,2.0,
2.7.1.68 *,2.0,3.0,2.0,0.0,
2.7.1.69,4.0,7.0,2.0,0.0,
2.7.1.71 *,1.0,1.0,18.0,11.0,
2.7.1.92 *,0.0,0.0,0.0,1.0,
2.7.2.11 *,0.0,1.0,2.0,6.0,
2.7.2.2,0.0,0.0,5.0,2.0,
2.7.2.3,5.0,6.0,26.0,20.0,
2.7.2.4,2.0,4.0,9.0,14.0,
2.7.2.7 *,0.0,1.0,0.0,2.0,
2.7.2.8 *,0.0,0.0,5.0,29.0,
2.7.4.1 *,0.0,0.0,0.0,2.0,
2.7.4.14 *,2.0,7.0,32.0,49.0,
2.7.4.16 *,0.0,3.0,6.0,2.0,
2.7.4.22 *,0.0,2.0,28.0,65.0,
2.7.4.3 *,1.0,3.0,23.0,42.0,
2.7.4.6,3.0,5.0,25.0,27.0,
2.7.4.7 *,0.0,0.0,12.0,15.0,
2.7.4.8 *,0.0,2.0,6.0,4.0,
2.7.4.9 *,0.0,2.0,2.0,4.0,
2.7.6.1,3.0,12.0,16.0,36.0,
2.7.6.2 *,0.0,0.0,0.0,1.0,
2.7.6.3 *,0.0,0.0,1.0,8.0,
2.7.7.12,0.0,0.0,2.0,1.0,
2.7.7.13,0.0,1.0,1.0,16.0,
2.7.7.14,0.0,0.0,0.0,1.0,
2.7.7.18 *,0.0,1.0,1.0,3.0,
2.7.7.2 *,0.0,3.0,3.0,12.0,
2.7.7.23 *,0.0,0.0,3.0,2.0,
2.7.7.24,0.0,1.0,0.0,6.0,
