EcActivity ,

,/ERR771019_MERGED_FASTQ_InterPro.tsv.txt,
1.1.1.133,89.0,
1.1.1.145 *,89.0,
1.1.1.158,71.0,
1.1.1.262 *,222.0,
1.1.1.267 *,59.0,
1.1.1.28 *,5.0,
1.1.1.44,329.0,
1.1.1.86,170.0,
1.10.2.2 *,9.0,
1.10.3.1,1.0,
1.10.99.1 *,1.0,
1.11.1.7,189.0,
1.13.11.1,4.0,
1.13.11.20,8.0,
1.13.99.1,18.0,
1.14.13.39 *,3.0,
1.17.4.1,708.0,
1.2.1.10,13.0,
1.2.1.70 *,144.0,
1.2.99.2,1.0,
1.3.99.3,1119.0,
1.4.3.21,37.0,
1.4.4.2 *,338.0,
1.5.1.30 *,171.0,
1.5.3.1 *,69.0,
1.5.99.12 *,1.0,
1.6.5.3 *,580.0,
1.7.99.4 *,5.0,
1.9.3.1 *,270.0,
2.1.1.11 *,9.0,
2.1.1.13,139.0,
2.1.1.14,59.0,
2.1.1.148,147.0,
2.1.1.43 *,2.0,
2.1.1.86 *,2.0,
2.3.1.109 *,28.0,
2.3.1.20 *,75.0,
2.3.1.41 *,99.0,
2.3.2.2,464.0,
2.3.3.10,30.0,
2.3.3.13,113.0,
2.4.1.10 *,1.0,
2.4.1.182 *,14.0,
2.4.1.198 *,1.0,
2.4.1.25 *,75.0,
2.4.2.11 *,57.0,
2.4.2.19 *,61.0,
2.4.2.21 *,51.0,
2.5.1.54 *,164.0,
2.5.1.6 *,216.0,
2.7.1.105 *,1.0,
2.7.1.107,39.0,
2.7.1.11,70.0,
2.7.1.156 *,33.0,
2.7.1.2,46.0,
2.7.1.33 *,6.0,
2.7.1.40,83.0,
2.7.1.69,13.0,
2.7.4.1 *,75.0,
2.7.4.3 *,8.0,
2.7.6.2 *,19.0,
2.7.7.12,53.0,
2.7.7.4,28.0,
2.7.7.48 *,3.0,
2.7.7.6,1874.0,
2.7.7.7,813.0,
2.8.4.1 *,1.0,
3.1.1.11,5.0,
3.1.1.14 *,2.0,
3.1.1.2 *,8.0,
3.1.1.4,2.0,
3.1.3.2,13.0,
3.1.3.5,37.0,
3.1.3.8 *,20.0,
3.1.4.14 *,39.0,
3.1.4.16,65.0,
3.1.4.46 *,161.0,
3.2.1.1 *,1.0,
3.2.1.23,107.0,
3.2.1.28 *,51.0,
3.2.1.33 *,17.0,
3.2.1.4 *,14.0,
3.2.1.45,22.0,
3.2.1.51 *,152.0,
3.3.1.1 *,50.0,
3.3.2.10,15.0,
3.4.16.4 *,30.0,
3.5.1.2,38.0,
3.5.1.5,9.0,
3.5.4.13 *,6.0,
3.5.4.5,10.0,
3.6.1.27 *,247.0,
3.6.1.3 *,191.0,
4.1.1.23 *,152.0,
4.1.1.3,11.0,
4.1.1.39,36.0,
4.2.1.104 *,1.0,
4.2.1.11,140.0,
4.2.1.20,166.0,
4.2.1.3,79.0,
4.3.1.17,25.0,
4.3.1.19,28.0,
4.3.1.7 *,11.0,
4.6.1.2 *,4.0,
4.99.1.1 *,69.0,
5.1.1.1 *,47.0,
5.1.3.1,186.0,
5.1.3.2,6.0,
5.3.1.25 *,20.0,
5.3.1.6,41.0,
5.3.1.8,35.0,
5.3.1.9,9.0,
5.4.2.1,137.0,
6.1.1.11 *,39.0,
6.1.1.14 *,245.0,
6.1.1.16 *,64.0,
6.1.1.19 *,309.0,
6.1.1.20 *,98.0,
6.1.1.3 *,2.0,
6.1.1.6 *,18.0,
6.1.1.7 *,329.0,
6.1.1.9,13.0,
6.3.1.2,526.0,
6.3.2.3 *,114.0,
6.3.2.4,195.0,
6.3.4.13 *,171.0,
6.3.5.2,53.0,
6.4.1.2,73.0,
6.6.1.1 *,64.0,
1.15.1.1 #,91.0,
1.21.4.2 #,7.0,
1.4.99.3 #,2.0,
1.5.5.1 #,32.0,
1.8.3.2 #,6.0,
2.1.1.100 #,4.0,
2.1.1.34 #,6.0,
2.1.1.36 #,6.0,
2.1.1.52 #,4.0,
2.1.1.57 #,1.0,
2.1.1.63 #,11.0,
2.1.1.72 #,33.0,
2.3.1.48 #,1.0,
2.3.1.97 #,5.0,
2.3.2.8 #,56.0,
2.4.2.30 #,5.0,
2.7.11.17 #,2.0,
2.7.11.5 #,72.0,
2.7.13.3 #,30.0,
2.7.7.19 #,2.0,
2.7.7.21 #,1.0,
2.7.7.25 #,1.0,
2.7.7.49 #,378.0,
2.7.7.50 #,4.0,
2.8.3.10 #,6.0,
3.1.11.6 #,177.0,
3.1.21.4 #,5.0,
3.1.26.5 #,1.0,
3.1.27.9 #,2.0,
3.2.1.143 #,1.0,
3.2.1.17 #,1.0,
3.5.1.44 #,14.0,
3.6.3.12 #,3.0,
4.2.1.96 #,63.0,
4.2.99.18 #,142.0,
5.2.1.8 #,200.0,
5.4.99.12 #,73.0,
5.99.1.3 #,642.0,
6.2.1.22 #,1.0,
6.3.2.19 #,1.0,
6.5.1.1 #,102.0,
6.5.1.2 #,274.0,
