	ERR771019_MERGED_FASTQ_InterPro.txt.tsv	ERR771060_MERGED_FASTQ_InterPro.tsv	ERR771064_MERGED_FASTQ_InterPro.tsv	ERR771070_MERGED_FASTQ_InterPro.tsv	
ec00010 / Glycolysis / Gluconeogenesis	1254.0	375.0	3422.0	3737.0	
ec00020 / Citrate cycle (TCA cycle)	486.0	210.0	1054.0	1325.0	
ec00030 / Pentose phosphate pathway	1259.0	295.0	2056.0	2122.0	
ec00040 / Pentose and glucuronate interconversions	379.0	77.0	440.0	416.0	
ec00051 / Fructose and mannose metabolism	436.0	122.0	1264.0	1119.0	
ec00052 / Galactose metabolism	653.0	86.0	915.0	739.0	
ec00053 / Ascorbate and aldarate metabolism	40.0	15.0	69.0	47.0	
ec00061 / Fatty acid biosynthesis	366.0	141.0	891.0	1087.0	
ec00062 / Fatty acid elongation in mitochondria	436.0	63.0	559.0	613.0	
ec00071 / Fatty acid metabolism	450.0	71.0	591.0	657.0	
ec00072 / Synthesis and degradation of ketone bodies	23.0	16.0	10.0	25.0	
ec00100 / Steroid biosynthesis	0.0	0.0	0.0	0.0	
ec00120 / Primary bile acid biosynthesis	280.0	44.0	445.0	478.0	
ec00121 / Secondary bile acid biosynthesis	0.0	0.0	0.0	0.0	
ec00130 / Ubiquinone and other terpenoid-quinone biosynthesis	1.0	43.0	209.0	207.0	
ec00140 / Steroid hormone biosynthesis	2.0	3.0	2.0	1.0	
ec00190 / Oxidative phosphorylation	2649.0	685.0	3917.0	4673.0	
ec00195 / Photosynthesis	1504.0	130.0	1512.0	1761.0	
ec00196 / Photosynthesis - antenna proteins	0.0	0.0	0.0	0.0	
ec00230 / Purine metabolism	6681.0	1446.0	14825.0	13489.0	
ec00231 / Puromycin biosynthesis	0.0	0.0	0.0	0.0	
ec00232 / Caffeine metabolism	2.0	6.0	4.0	4.0	
ec00240 / Pyrimidine metabolism	6084.0	1127.0	14030.0	11893.0	
ec00250 / Alanine, aspartate and glutamate metabolism	1136.0	377.0	2268.0	2602.0	
ec00253 / Tetracycline biosynthesis	134.0	111.0	731.0	906.0	
ec00260 / Glycine, serine and threonine metabolism	1147.0	170.0	1477.0	1758.0	
ec00270 / Cysteine and methionine metabolism	672.0	279.0	2041.0	2327.0	
ec00280 / Valine, leucine and isoleucine degradation	450.0	103.0	813.0	875.0	
ec00281 / Geraniol degradation	436.0	68.0	562.0	614.0	
ec00290 / Valine, leucine and isoleucine biosynthesis	1260.0	536.0	3815.0	4484.0	
ec00300 / Lysine biosynthesis	14.0	45.0	421.0	490.0	
ec00310 / Lysine degradation	438.0	63.0	564.0	622.0	
ec00311 / Penicillin and cephalosporin biosynthesis	0.0	39.0	0.0	1.0	
ec00312 / beta-Lactam resistance	0.0	39.0	0.0	1.0	
ec00330 / Arginine and proline metabolism	1731.0	585.0	2771.0	3310.0	
ec00331 / Clavulanic acid biosynthesis	0.0	0.0	0.0	0.0	
ec00340 / Histidine metabolism	207.0	149.0	1253.0	1390.0	
ec00350 / Tyrosine metabolism	34.0	40.0	35.0	113.0	
ec00351 / DDT degradation	0.0	0.0	0.0	0.0	
