Pathway	EC	s1.txt	
Phenylalanine-tyrosine-and-tryptophan-biosynthesis	1.1.1.25 *	1.0	
Terpenoid-backbone-biosynthesis	1.1.1.267 *	1.0	
Pentose-phosphate-pathway	1.1.1.44	2.0	
Glycerophospholipid-metabolism	1.1.1.94 *	1.0	
Glycerophospholipid-metabolism	1.1.5.3 *	1.0	
Pyruvate-metabolism	1.1.5.4 *	1.0	
Phenylalanine-metabolism	1.11.1.7	1.0	
Chlorocyclohexane-and-chlorobenzene-degradation	1.14.13.7	2.0	
Terpenoid-backbone-biosynthesis	1.17.1.2 *	1.0	
Purine-metabolism	1.17.4.1	1.0	
Terpenoid-backbone-biosynthesis	1.17.7.1 *	1.0	
Chloroalkane-and-chloroalkene-degradation	1.18.6.1	1.0	
Arginine-and-proline-metabolism	1.2.1.41 *	1.0	
Phenylalanine-tyrosine-and-tryptophan-biosynthesis	1.3.1.12	1.0	
Porphyrin-and-chlorophyll-metabolism	1.3.3.3 *	1.0	
Pyrimidine-metabolism	1.3.5.2 *	1.0	
Nicotinate-and-nicotinamide-metabolism	1.4.1.21 *	1.0	
Glycine-serine-and-threonine-metabolism	1.4.3.21	1.0	
Vitamin-B6-metabolism	1.4.3.5 *	1.0	
Glycine-serine-and-threonine-metabolism	1.4.4.2 *	1.0	
One-carbon-pool-by-folate	1.5.1.3	1.0	
One-carbon-pool-by-folate	1.5.1.5	2.0	
Glycine-serine-and-threonine-metabolism	1.5.3.1 *	2.0	
Nicotinate-and-nicotinamide-metabolism	1.6.1.1 *	1.0	
Nitrogen-metabolism	1.7.99.1 *	1.0	
Sulfur-metabolism	1.8.1.2 *	2.0	
Oxidative-phosphorylation	1.9.3.1 *	1.0	
Cysteine-and-methionine-metabolism	2.1.1.13	1.0	
Ubiquinone-and-other-terpenoid-quinone-biosynthesis	2.1.1.163 *	1.0	
Cysteine-and-methionine-metabolism	2.1.1.37 *	1.0	
Drug-metabolism-other-enzymes	2.1.1.67 *	3.0	
Propanoate-metabolism	2.1.3.1 *	1.0	
Arginine-and-proline-metabolism	2.1.3.3 *	1.0	
Terpenoid-backbone-biosynthesis	2.2.1.7 *	1.0	
Amino-sugar-and-nucleotide-sugar-metabolism	2.3.1.157 *	1.0	
Fatty-acid-biosynthesis	2.3.1.180 *	1.0	
