GO	s1.txt	
0000041	1.0	
0000105	1.0	
0000107	1.0	
0000160	46.0	
0000162	1.0	
0000271	3.0	
0000917	3.0	
0001680	1.0	
0002098	1.0	
0002100	1.0	
0002161	1.0	
0003676	21.0	
0003677	139.0	
0003678	1.0	
0003697	1.0	
0003700	121.0	
0003723	15.0	
0003725	1.0	
0003735	24.0	
0003755	1.0	
0003774	6.0	
0003824	19.0	
0003842	1.0	
0003861	4.0	
0003864	1.0	
0003883	1.0	
0003887	1.0	
0003899	1.0	
0003934	1.0	
0003951	1.0	
0003993	1.0	
0003994	1.0	
0003995	1.0	
0004004	4.0	
0004040	1.0	
0004055	1.0	
0004061	1.0	
0004115	1.0	
0004129	1.0	
0004170	1.0	
0004177	1.0	
0004180	1.0	
0004190	1.0	
0004222	1.0	
0004298	1.0	
0004312	1.0	
0004315	1.0	
0004328	1.0	
0004347	2.0	
0004356	7.0	
0004358	1.0	
0004367	1.0	
0004368	1.0	
0004386	2.0	
0004413	1.0	
0004414	1.0	
0004425	1.0	
0004455	1.0	
0004478	1.0	
0004488	2.0	
0004497	2.0	
0004514	2.0	
0004519	2.0	
0004521	1.0	
0004525	1.0	
0004526	1.0	
0004527	1.0	
0004590	1.0	
0004594	1.0	
0004601	1.0	
0004609	1.0	
0004612	1.0	
0004620	2.0	
0004634	2.0	
0004643	1.0	
0004644	1.0	
0004655	2.0	
0004664	2.0	
0004665	1.0	
0004725	1.0	
0004743	1.0	
0004748	1.0	
0004764	1.0	
0004792	1.0	
0004799	1.0	
0004812	2.0	
0004820	3.0	
0004826	1.0	
0004852	1.0	
0004853	1.0	
0004871	1.0	
0005215	4.0	
0005328	1.0	
0005488	2.0	
0005506	2.0	
0005507	1.0	
0005509	3.0	
0005515	31.0	
0005524	142.0	
0005525	14.0	
0005622	35.0	
0005634	1.0	
0005727	2.0	
0005737	7.0	
0005739	1.0	
0005840	7.0	
0005856	2.0	
0005886	18.0	
0005975	10.0	
0005978	1.0	
0006007	1.0	
0006097	1.0	
0006106	1.0	
0006189	1.0	
0006207	2.0	
0006229	1.0	
0006281	2.0	
0006282	1.0	
0006298	1.0	
0006304	4.0	
0006352	1.0	
0006353	2.0	
0006355	13.0	
0006364	1.0	
0006402	1.0	
0006412	1.0	
0006413	3.0	
0006414	5.0	
0006415	2.0	
0006418	1.0	
0006438	2.0	
0006450	1.0	
0006457	17.0	
0006464	1.0	
0006468	3.0	
0006479	3.0	
0006508	6.0	
0006520	2.0	
0006523	2.0	
0006526	2.0	
0006537	3.0	
0006545	1.0	
0006546	1.0	
0006568	1.0	
0006591	1.0	
0006605	1.0	
0006614	1.0	
0006633	5.0	
0006725	10.0	
0006744	3.0	
0006777	5.0	
0006779	2.0	
0006801	1.0	
0006807	8.0	
0006808	3.0	
0006810	110.0	
0006813	4.0	
0006814	4.0	
0006858	1.0	
0006865	2.0	
0006878	2.0	
0006886	2.0	
0006935	8.0	
0006979	1.0	
0007062	1.0	
0007165	2.0	
0007219	1.0	
0008033	1.0	
0008061	1.0	
0008080	14.0	
0008094	1.0	
0008097	1.0	
0008124	1.0	
0008146	1.0	
0008152	64.0	
0008168	19.0	
0008170	2.0	
0008173	2.0	
0008176	1.0	
0008237	1.0	
0008270	16.0	
0008295	2.0	
0008360	1.0	
0008483	3.0	
0008610	1.0	
0008615	2.0	
