EC-Taxa	ERR771019_MERGED_FASTQ_InterPro.tsv	ERR771060_MERGED_FASTQ_InterPro.tsv	ERR771064_MERGED_FASTQ_InterPro.tsv	ERR771070_MERGED_FASTQ_InterPro.tsv
1.1.1.1-Actinobacteria	0	0	1	0
1.1.1.1-Pseudomonas aeruginosa	0	2	0	0
1.1.1.1-Herbaspirillum	0	0	0	1
1.1.1.1-Gloeophyllum trabeum	1	0	0	0
1.1.1.1-Pelagibacteraceae	0	0	0	1
1.1.1.1-Porticoccaceae	1	0	0	0
1.1.1.1-Treponema saccharophilum	0	0	1	0
1.1.1.1-Gammaproteobacteria	1	0	0	1
1.1.1.1-Alphaproteobacteria	0	0	1	0
1.1.1.1-Sphingobacterium	1	0	0	0
	
1.1.1.193-Gammaproteobacteria	0	0	0	1
	
1.1.1.23-Cuculus canorus	0	0	1	0
1.1.1.23-Bacteroidetes	0	0	2	0
1.1.1.23-Betaproteobacteria	0	0	1	1
1.1.1.23-Candidatus Microthrix parvicella	0	0	0	2
1.1.1.23-Ilumatobacter coccineus	0	0	0	2
1.1.1.23-Candidatus Woesebacteria	0	0	0	1
1.1.1.23-Sulfitobacter mediterraneus	0	0	1	0
1.1.1.23-Bradyrhizobiaceae	0	0	1	0
1.1.1.23-Acetobacteraceae	0	0	0	1
1.1.1.23-Bathycoccus prasinos	0	0	1	1
1.1.1.23-Pelagibacterales	0	0	0	2
1.1.1.23-Pseudovibrio	0	0	0	1
1.1.1.23-Gammaproteobacteria	0	1	1	4
1.1.1.23-Naumovozyma dairenensis	0	0	2	0
1.1.1.23-Harpegnathos saltator	0	0	1	0
1.1.1.23-Eukaryota	0	0	0	1
1.1.1.23-Pseudomonas syringae	0	0	2	0
1.1.1.23-Actibacterium mucosum	0	0	0	1
1.1.1.23-Thioalkalimicrobium	0	0	1	0
1.1.1.23-Duganella	0	0	1	0
1.1.1.23-Pseudomonas	0	4	0	0
1.1.1.23-Pelagibacteraceae	0	0	13	25
1.1.1.23-Thiomonas	0	0	1	0
1.1.1.23-Panicoideae	0	0	1	0
1.1.1.23-Chlamydia trachomatis	0	0	1	0
1.1.1.23-Bacillus	0	0	0	7
1.1.1.23-Nitrincola lacisaponensis	0	0	0	1
1.1.1.23-Acidimicrobium	0	0	10	0
1.1.1.23-Fungi	0	0	1	0
1.1.1.23-Acanthamoeba castellanii	0	0	1	0
1.1.1.23-Hyphomonadaceae	0	0	0	1
1.1.1.23-Sphingobium	0	0	1	0
1.1.1.23-Octadecabacter antarcticus	0	0	2	0
1.1.1.23-Cyanobium	0	0	0	2
1.1.1.23-Rhizobium	0	0	1	0
1.1.1.23-Achromobacter xylosoxidans	0	0	1	0
1.1.1.23-Thioclava	0	0	0	1
1.1.1.23-Kazachstania naganishii	0	0	0	1
1.1.1.23-Flavobacteriaceae	0	0	0	1
1.1.1.23-Labrenzia alba	0	0	0	1
1.1.1.23-Buchnera aphidicola	0	0	0	1
1.1.1.23-Verruconis gallopava	0	0	1	0
1.1.1.23-Pseudoalteromonas luteoviolacea	0	0	1	0
1.1.1.23-Ruegeria pomeroyi	0	0	0	1
1.1.1.23-Phaeodactylum tricornutum	0	0	2	0
1.1.1.23-Rhodobacteraceae	0	0	1	9
1.1.1.23-Pseudomonas fluorescens	0	0	1	0
1.1.1.23-Rhizoctonia solani	0	0	0	1
1.1.1.23-Burkholderia phymatum	0	0	0	1
1.1.1.23-Myceliophthora thermophila	0	0	0	1
1.1.1.23-Sinorhizobium meliloti	0	0	1	0
1.1.1.23-Labrenzia alexandrii	0	0	0	1
1.1.1.23-Anolis carolinensis	0	0	1	0
1.1.1.23-Proteobacteria	0	0	4	11
1.1.1.23-Pseudomonas aeruginosa	0	4	0	0
1.1.1.23-Photobacterium	0	0	1	0
1.1.1.23-Candidatus Pelagibacter	0	0	6	6
1.1.1.23-Haematobacter	0	0	0	1
1.1.1.23-[Ruminococcus] torques	0	0	0	3
