Pathway	s1.txt	
ec00010-Glycolysis-Gluconeogenesis	7.0	
ec00020-Citrate-cycle-TCA-cycle-	4.0	
ec00030-Pentose-phosphate-pathway	6.0	
ec00040-Pentose-and-glucuronate-interconversions	0.0	
ec00051-Fructose-and-mannose-metabolism	2.0	
ec00052-Galactose-metabolism	0.0	
ec00053-Ascorbate-and-aldarate-metabolism	0.0	
ec00061-Fatty-acid-biosynthesis	2.0	
ec00062-Fatty-acid-elongation-in-mitochondria	3.0	
ec00071-Fatty-acid-metabolism	3.0	
ec00072-Synthesis-and-degradation-of-ketone-bodies	0.0	
ec00100-Steroid-biosynthesis	0.0	
ec00120-Primary-bile-acid-biosynthesis	0.0	
ec00121-Secondary-bile-acid-biosynthesis	0.0	
ec00130-Ubiquinone-and-other-terpenoid-quinone-biosynthesis	1.0	
ec00140-Steroid-hormone-biosynthesis	0.0	
ec00190-Oxidative-phosphorylation	6.0	
ec00195-Photosynthesis	5.0	
ec00196-Photosynthesis-antenna-proteins	0.0	
ec00230-Purine-metabolism	13.0	
ec00231-Puromycin-biosynthesis	0.0	
ec00232-Caffeine-metabolism	0.0	
ec00240-Pyrimidine-metabolism	12.0	
ec00250-Alanine-aspartate-and-glutamate-metabolism	10.0	
ec00253-Tetracycline-biosynthesis	0.0	
ec00260-Glycine-serine-and-threonine-metabolism	6.0	
ec00270-Cysteine-and-methionine-metabolism	7.0	
ec00280-Valine-leucine-and-isoleucine-degradation	3.0	
ec00281-Geraniol-degradation	3.0	
ec00290-Valine-leucine-and-isoleucine-biosynthesis	5.0	
ec00300-Lysine-biosynthesis	0.0	
ec00310-Lysine-degradation	3.0	
ec00311-Penicillin-and-cephalosporin-biosynthesis	0.0	
ec00312-beta-Lactam-resistance	0.0	
ec00330-Arginine-and-proline-metabolism	18.0	
ec00331-Clavulanic-acid-biosynthesis	0.0	
ec00340-Histidine-metabolism	1.0	
ec00350-Tyrosine-metabolism	2.0	
ec00351-DDT-degradation	0.0	
ec00360-Phenylalanine-metabolism	3.0	
ec00361-Chlorocyclohexane-and-chlorobenzene-degradation	2.0	
ec00362-Benzoate-degradation	3.0	
ec00363-Bisphenol-degradation	0.0	
ec00364-Fluorobenzoate-degradation	2.0	
ec00380-Tryptophan-metabolism	5.0	
ec00400-Phenylalanine-tyrosine-and-tryptophan-biosynthesis	11.0	
ec00401-Novobiocin-biosynthesis	2.0	
ec00402-Benzoxazinoid-biosynthesis	0.0	
ec00410-beta-Alanine-metabolism	6.0	
ec00430-Taurine-and-hypotaurine-metabolism	0.0	
ec00440-Phosphonate-and-phosphinate-metabolism	0.0	
ec00450-Selenocompound-metabolism	2.0	
ec00460-Cyanoamino-acid-metabolism	2.0	
ec00471-D-Glutamine-and-D-glutamate-metabolism	0.0	
ec00472-D-Arginine-and-D-ornithine-metabolism	0.0	
ec00473-D-Alanine-metabolism	1.0	
ec00480-Glutathione-metabolism	5.0	
ec00500-Starch-and-sucrose-metabolism	3.0	
ec00510-N-Glycan-biosynthesis	0.0	
ec00511-Other-glycan-degradation	0.0	
ec00512-Mucin-type-O-Glycan-biosynthesis	0.0	
ec00513-Various-types-of-N-glycan-biosynthesis	0.0	
ec00514-Other-types-of-O-glycan-biosynthesis	0.0	
ec00520-Amino-sugar-and-nucleotide-sugar-metabolism	4.0	
ec00521-Streptomycin-biosynthesis	0.0	
ec00522-Biosynthesis-of-12-14-and-16-membered-macrolides	0.0	
ec00523-Polyketide-sugar-unit-biosynthesis	0.0	
ec00524-Butirosin-and-neomycin-biosynthesis	0.0	
ec00531-Glycosaminoglycan-degradation	0.0	
ec00532-Glycosaminoglycan-biosynthesis-chondroitin-sulfate	0.0	
ec00533-Glycosaminoglycan-biosynthesis-keratan-sulfate	0.0	
ec00534-Glycosaminoglycan-biosynthesis-heparan-sulfate	0.0	
ec00540-Lipopolysaccharide-biosynthesis	3.0	
ec00550-Peptidoglycan-biosynthesis	1.0	
ec00561-Glycerolipid-metabolism	0.0	
ec00562-Inositol-phosphate-metabolism	2.0	
ec00563-Glycosylphosphatidylinositol-GPI-anchor-biosynthesis	0.0	
ec00564-Glycerophospholipid-metabolism	6.0	
ec00565-Ether-lipid-metabolism	2.0	
ec00590-Arachidonic-acid-metabolism	2.0	
ec00591-Linoleic-acid-metabolism	2.0	
ec00592-alpha-Linolenic-acid-metabolism	5.0	
ec00600-Sphingolipid-metabolism	0.0	
ec00601-Glycosphingolipid-biosynthesis-lacto-and-neolacto-series	0.0	
ec00603-Glycosphingolipid-biosynthesis-globo-series	0.0	
