!ENTRY_AC	AC
IPR025800	00310+2.1.1.60
IPR005784	00310+2.6.1.21
IPR012803	00310+4.2.1.17
IPR000871	00311+3.5.2.6
IPR023013	00330+1.2.1.38
IPR012134	00330+1.2.1.41
IPR007780	00330+1.4.1.2
IPR011243	00330+2.3.1.1
IPR001045	00330+2.5.1.16
IPR030668	00330+2.5.1.16
IPR017747	00330+2.6.1.82
IPR011242	00330+2.7.2.8
IPR002410	00330+3.4.11.5
IPR010075	00330+3.5.1.2
IPR015868	00330+3.5.1.2
IPR003198	00330+3.5.3.6
IPR002985	00330+4.1.1.19
IPR016104	00330+4.1.1.19
IPR027549	00330+4.1.1.19
IPR027303	00330+6.3.1.2
IPR023434	00330+6.3.4.5
IPR015230	00332+6.3.3.6
IPR004227	00340+2.1.2.5
IPR018198	00340+2.4.2.17
IPR008179	00340+3.6.1.31
IPR000807	00340+4.2.1.19
IPR005921	00340+4.3.1.3
IPR010188	00340+5.3.1.16
IPR023016	00340+5.3.1.16
IPR012079	00350+1.1.1.1
IPR017128	00350+2.1.1.6
IPR022314	00350+5.4.3.6+4.3.1.23
IPR029587	00360+1.11.1.7
IPR005961	00360+1.14.16.1
IPR015800	00360+1.4.3.21
IPR005957	00360+2.6.1.5
IPR006176	00360+4.2.1.17
IPR012799	00360+4.2.1.17
IPR023793	00360+4.2.1.80
IPR017624	00361+1.13.11.2
IPR006328	00361+3.8.1.2
IPR017606	00362+1.3.7.9
IPR012805	00362+2.3.1.16
IPR003168	00364+4.2.1.84
IPR006176	00380+4.2.1.17+1.1.1.35
IPR024712	00380+1.11.1.6
IPR008067	00380+1.14.14.1
IPR017484	00380+3.5.1.9
IPR013708	00400+1.1.1.25
IPR006264	00400+2.5.1.19
IPR018177	00010+1.1.1.27
IPR006436	00010+1.2.1.59
IPR019807	00010+2.7.1.1
IPR022673	00010+2.7.1.1
IPR009161	00010+2.7.1.11
IPR001697	00010+2.7.1.40
IPR004719	00010+2.7.1.69
IPR011618	00010+2.7.1.69
IPR011299	00010+2.7.1.69
IPR029503	00010+2.7.1.69
IPR015824	00010+2.7.2.3
IPR016275	00010+3.1.3.9
IPR001272	00010+4.1.1.49
IPR011289	00010+4.1.2.13
IPR006412	00010+4.1.2.13
IPR004456	00010+5.4.2.12
IPR013371	00010+5.4.2.12
IPR010097	00020+1.1.1.37
IPR004439	00020+1.1.1.42
