PF03255	0006633 0009317 0003989
PF03254	0042546 0008107 0016020
PF02169	0009279
PF03253	0016021 0071918 0015204
PF02167	0009055 0005506 0020037
PF02166	0003677 0005634 0006355 0005496 0004882 0030521
PF03250	0005523 0005856
PF02165	0005634 0003700 0006355
PF01079	0006508 0008233
PF02163	0006508 0004222
PF06519	0006810 0005215 0016020
PF01078	0016851 0015979 0015995
PF01077	0055114 0016491 0051536 0020037
PF02161	0003677 0005634 0003707 0006355 0005496 0043401
PF01076	0003677 0005727 0006310
PF06516	0055085
PF01075	0008152 0016757
PF01074	0005975 0004559
PF06514	0042549 0015979 0009654 0009523 0019898
PF01073	0003854 0006694
PF06512	0005248 0006814 0001518
PF06511	0009405
PF05427	0017134
PF01070	0016491
PF05425	0016021
PF05424	0009405 0016021 0004872
PF05420	0019867 0030244
PF04336	0006633 0008770
PF04335	0016020
PF04333	0016020
PF03249	0016021
PF03248	0016021
PF03246	0019013
PF03245	0019835
PF03244	0009538 0015979 0009522
PF02159	0003677 0005634 0003707 0006355 0005496 0043401
PF03243	0018836 0046413
PF02158	0009790 0005102
PF03242	0006950
PF03241	0010124 0016712
PF02156	0006080 0008810 0016985
PF02155	0042921 0003677 0005634 0006355 0005496 0004883 0043402
PF02154	0003774 0006935 0001539 0009425
PF02153	0004665 0006571
PF01068	0005524 0006281 0003910 0006310
PF02152	0004150 0006760
PF02151	0003677 0004518 0006289
PF06507	0003677 0009725 0005634 0006355
PF01066	0016780 0016020 0008654
PF02150	0003677 0003899 0006351
PF06506	0003677 0005524 0000160 0000156
PF01065	0005198 0019028
PF01064	0004675 0016020 0005024
PF01063	0008152 0003824
PF05418	0042627 0004857 0006629
PF01061	0016020
PF05417	0019082 0016032
PF01060	0005615
PF05416	0006508 0004197
PF05413	0005524 0003723 0003968 0019079
PF05412	0019082 0016032
PF05411	0008270 0005524 0016818 0003968 0004197 0004252
PF05410	0008270 0005524 0016818 0003968 0004197 0004252
PF04326	0005524
PF03239	0016020 0055085
PF04321	0008831 0045226
PF02149	0006468 0005524 0004674
PF03233	0019089
PF02148	0008270
PF03232	0006744 0055114
PF02146	0008270 0006342 0016811 0006355 0006476 0070403
PF02145	0051056 0005622 0005096
PF02144	0005634 0006281 0008853 0003684
PF01059	0055114 0006120 0008137
PF01058	0055114 0051539 0048038 0008137
PF01057	0019079
PF01056	0005634 0003700 0006355
PF02140	0005529
PF01055	0005975 0004553
PF01053	0030170 0006520
PF05409	0019082
PF05408	0019082 0016032 0004197
PF01051	0003887 0006270 0005727
PF05407	0017111 0003968 0004197
PF01050	0005976 0016779
PF05405	0015078 0015986 0000276
PF05404	0016021 0005783
PF04319	0009399
PF05401	0008757 0009312 0009877
PF05400	0019861
PF04316	0016564 0045892 0019861
PF04313	0006304 0003677 0004519
PF03229	0019050
PF03228	0019028
PF04310	0003677 0005524 0009295 0030261 0007059
PF03224	0015991 0046961 0000221
PF03223	0015991 0033180 0016820
PF02137	0003723 0006396 0004000
PF02136	0006810 0005622
PF03220	0019012
PF02135	0008270 0004402 0005634 0003712 0006355
PF02134	0005524 0008641 0006464
PF01049	0016020 0005509 0007156
PF02133	0016020 0015205 0015851
PF01048	0003824 0009116
PF01047	0005622 0003700 0006355
PF02130	0046872
PF01044	0015629 0005198 0007155
PF01043	0017038 0016020
PF01040	0016021 0004659
PF04309	0009607 0030528 0006355
PF03217	0030115 0009274 0005199
PF04300	0030163
PF03216	0019013
PF03214	0005618 0016758 0030054 0007047 0030244 0008466
PF02129	0006508 0004177
PF03213	0019031
PF02128	0008270 0005615 0004222
PF02127	0008270 0006508 0004177
PF03211	0030570 0005576
PF02126	0008270 0009056 0016788
PF03210	0016070
PF01039	0016874
PF02123	0003723 0003968 0006351
PF02122	0022415 0016021 0004252
PF01037	0005622 0003700 0006355 0043565
PF02121	0006810 0005622
PF01036	0005216 0006811 0016020
PF01035	0006281 0003824
PF01034	0008092 0016020
PF01033	0030247 0006955 0005044
PF01032	0005215 0016020
PF01031	0005525
PF01030	0016020
PF12592	0016820
PF12590	0016790
PF03206	0009399
PF02119	0009428 0001539 0005198 0030288
PF02118	0004888 0007606 0016020
PF02117	0004888 0007606 0016021
PF03201	0018537 0015948
PF02116	0004932 0016020
PF03200	0009311 0004573
PF02115	0005094 0005737
PF01029	0003723 0006355
PF02113	0006508 0004185
PF01028	0003677 0006265 0003918 0005694
PF02112	0004115 0006198
PF01026	0016888
PF02110	0004417 0009228
PF01025	0006457 0042803 0051087 0000774
PF01024	0050829 0019835 0016021
PF01022	0005622 0003700 0006355
PF01021	0003723 0005737
PF01020	0003735 0006412 0005840
PF12581	0016817 0003968 0004197 0004252 0070008
PF02109	0016021
PF02107	0003774 0009427 0001539
PF02106	0006281
PF02104	0016020
PF01019	0003840
PF01018	0005525
PF02102	0006508 0004222
PF01017	0005634 0003700 0007165 0006355 0004871
PF02101	0016020
PF01016	0005622 0003735 0006412 0005840
PF02100	0004857 0008073
PF01015	0005622 0003735 0006412 0005840
PF01014	0055114 0016491 0006144
PF01010	0055114 0042773 0008137
PF10399	0055114 0008121
PF04999	0016021 0007049
PF04998	0003677 0003899 0006351
PF04997	0003677 0003899 0006351
PF04996	0006525 0009015
PF10394	0004402 0016568
PF04995	0006810 0016021
PF10391	0016779
PF04992	0003677 0003899 0006351
PF10390	0016944 0008023 0006368
PF04990	0003677 0003899 0006351
PF01008	0044237
PF01006	0016032 0044423
PF01005	0003725
PF01004	0019058 0019028
PF01003	0005198 0019028
PF01002	0019012 0004252
PF01001	0017111 0003968 0004197 0004252
PF01000	0003899 0006351 0046983
PF09194	0003677 0009307 0009036
PF09190	0005524 0005737 0004817 0006412 0006423 0000166
PF04989	0008168 0008610
PF04988	0003677 0005634
PF04987	0016740 0005789 0006506
PF10385	0003899 0006351
PF04986	0003677 0004803 0006313
PF10384	0005634
PF04983	0003677 0003899 0006351
