! Conversion taken from: http://www.geneontology.org/
PF00005;3.6.1.3
PF00016;4.1.1.39
PF00026;3.4.23
PF00032;1
PF00033;1
PF00056;1
PF00064;3.2.1.18
PF00067;1.14
PF00068;3.1.1.4
PF00070;1
PF00075;3.1.26.4
PF00078;2.7.7.49
PF00081;1.15.1.1
PF00082;3.4.21
PF00089;3.4.21
PF00101;4.1.1.39
PF00102;3.1.3.48
PF00106;1
PF00107;1
PF00108;2.3.1
PF00113;4.2.1.11
PF00116;1.9.3.1
PF00120;R00253
PF00120;6.3.1.2
PF00121;R01015
PF00121;5.3.1.1
PF00136;2.7.7.7
PF00141;R03532
PF00141;1.11.1.7
PF00142;1
PF00148;1
PF00149;3
PF00150;3.2.1
PF00155;2.6
PF00160;5.2.1.8
PF00161;3.2.2.22
PF00162;R01512
PF00162;2.7.2.3
PF00171;1
PF00175;1
PF00179;6.3.2
PF00182;3.2.1.14
PF00185;2.1.3
PF00186;1.5.1.3
PF00201;2.4.1
PF00202;2.6.1
PF00204;5.99.1.3
PF00208;1
PF00211;4.6
PF00215;R00965
PF00215;4.1.1.23
PF00217;2.7
PF00218;4.1.1.48
PF00221;4.3.1
PF00224;2.7.1.40
PF00227;3.4.25
PF00232;3.2.1
PF00233;3.1.4.17
PF00242;2.7.7.7
PF00245;3.1.3
PF00246;3.4.17
PF00255;1.11.1.9
PF00258;1
PF00264;1
PF00265;2.7.1.21
PF00268;1.17.4.1
PF00274;4.1.2.13
PF00275;2.5
PF00275;2.5.1
PF00282;4.1.1
PF00285;2.3.3
PF00287;3.6.3.9
PF00290;R02722
PF00290;4.2.1.20
PF00293;3
PF00295;3.2.1.15
PF00302;R03065
PF00302;2.3.1.28
PF00303;R02101
PF00303;2.1.1.45
PF00305;1.13.11
PF00306;3.6.3
PF00309;2.7.7.6
PF00311;R00345
PF00311;4.1.1.31
PF00317;1.17.4.1
PF00328;3.1.3.2
PF00329;1.6.5.3
PF00331;3.2.1
PF00332;3.2.1
PF00334;2.7.4.6
PF00336;3.1.26.4
PF00342;5.3.1.9
