R00005	00330 00791 01100 01120
R00006	00770
R00008	00362 00660 01120
R00010	00500
R00013	00630 01100
R00014	00010 00020 00290 00620 00650 01100 01110 01120
R00018	00960 01110
R00019	00680
R00021	00910
R00022	00520
R00024	00710 01100 01120
R00025	00910
R00026	00500
R00028	00500 01100
R00031	00350 00950 01100 01110
R00032	00830 01100
R00033	00730
R00036	00860 01100 01110
R00042	00350
R00044	00950 01110
R00045	00350 01100
R00048	00650
R00066	00740 01100
R00068	00053 01100
R00069	00340
R00070	00860
R00072	00730
R00073	00590 01100
R00074	00380
R00078	00860
R00084	00860 01100 01110
R00086	00230 00680
R00087	00230
R00089	00230
R00093	00250 00910 01100 01110 01120
R00095	00053 01100
R00097	00860
R00099	00860
R00100	00520
R00102	00760 01100
R00103	00760
R00104	00760 01100
R00107	00860
R00111	00330
R00112	00760 01100
R00114	00250 00910 01100 01110 01120
R00115	00480
R00118	00760
R00119	00760
R00120	00480
R00122	00230
R00124	00230 01100 01110
R00125	00230
R00126	00230
R00127	00230 01100 01110
R00128	00230
R00130	00770 01100
R00131	00230 00330 00791 01100 01120
R00132	00910
R00134	00680 00720 01100 01120
R00135	00330
R00137	00760
R00139	00240
R00140	00240
R00143	00910
R00145	00910
R00146	00910
R00148	00910
R00149	00250 00330 00910 01100
R00150	00230 00330 00910 01120
R00155	00240
R00156	00240 01100
R00157	00240
R00158	00240 01100
R00159	00240
R00160	00740
R00161	00740 01100
R00173	00750 01100
R00174	00750 01100
R00177	00270 01100 01110
R00178	00270 00330 01100
R00179	00270 01100 01110
R00181	00230 01100 01110
R00182	00230
R00183	00230 01100
R00184	00230
R00185	00230 01100
R00187	00230
R00189	00760 00910 01100
R00190	00230 01100
R00191	00230
R00192	00270 01100
R00194	00270 01100
R00196	00620 01100
R00197	00620
R00198	00620
R00199	00620 00680 00720 01100 01120
R00200	00010 00230 00620 00710 01100 01110 01120
R00203	00620
R00205	00620
R00206	00620 00710 01100 01120
R00207	00620 01100
R00209	01100
R00211	00620
R00212	00620 00650 01100
R00214	00620 00710 01100 01120
R00215	00650
